id,sentence,subject_entity,object_entity,label,source
32470,": 유엔, 유럽 의회, 북대서양 조약 기구 (NATO), 국제이주기구, 세계 보건 기구 (WHO), 지중해 연합, 이슬람 협력 기구, 유럽 안보 협력 기구, 국제 통화 기금, 세계무역기구 그리고 프랑코포니.","{'word': 'NATO', 'start_idx': 25, 'end_idx': 28, 'type': 'ORG'}","{'word': '북대서양 조약 기구', 'start_idx': 13, 'end_idx': 22, 'type': 'ORG'}",org:alternate_names,wikipedia
32471,1971년 대선을 앞두고 김종필은 1971년 선거에서 박정희 당선을 위해 무려 600억원이나 썼다고 밝혔다.,"{'word': '박정희', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}","{'word': '김종필', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}",per:colleagues,wikipedia
32472,"2010년에는 아시아 가수 최초로 마이클 잭슨의 곡을 리메이크하였는데 당시 마이클 잭슨과 함께 작업했던 세계적인 뮤지션 스티브 바라캇(Steve Barakatt)과 마이클 잭슨 곡 ""You are not alone""을 작업해 화제가 되었다.","{'word': 'Steve Barakatt', 'start_idx': 75, 'end_idx': 88, 'type': 'PER'}","{'word': '스티브 바라캇', 'start_idx': 67, 'end_idx': 73, 'type': 'PER'}",per:alternate_names,wikipedia
32473,"박흥식은 첫 부인과의 사이에 장녀 박병숙을 두었고, 두 번째 부인은 경희대학교 교수를 지낸 피아니스트 한인하이며, 두 사람 사이에서 태어난 딸 박봉숙은 이화여자대학교 교수를 지냈다.","{'word': '한인하', 'start_idx': 57, 'end_idx': 59, 'type': 'PER'}","{'word': '박흥식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",per:spouse,wikipedia
32474,"SK는 또 ""해당 방송에서 언급한 지난해 12월5일 가로세로연구소 유튜브 방송 또한 명백한 허위사실임을 알려드린다""며 ""최태원 회장이 수감 중 구치소에 라텍스 베개를 배포하였다거나 이혼 소송 중인 노소영 관장에게 생활비를 지급하지 않았다는 것은 허위""라고도 주장했다.","{'word': '최태원', 'start_idx': 67, 'end_idx': 69, 'type': 'PER'}","{'word': '노소영', 'start_idx': 110, 'end_idx': 112, 'type': 'PER'}",per:spouse,wikitree
32475,이 대회는 1960년에 출범하여 매년 개최되어왔으며 유럽 축구 연맹(UEFA)과 남미 축구 연맹(CONMEBOL)이 공동으로 주관했다.,"{'word': 'UEFA', 'start_idx': 38, 'end_idx': 41, 'type': 'ORG'}","{'word': '유럽 축구 연맹', 'start_idx': 29, 'end_idx': 36, 'type': 'ORG'}",org:alternate_names,wikipedia
32476,"미국 정부는 1942년 2월 24일 전 세계의 청취자를 대상으로 태평양 전쟁의 전쟁상황을 알리기 위한 방송인 미국의 소리(VOA, Voice of America)를 개국하였다.","{'word': 'Voice of America', 'start_idx': 73, 'end_idx': 88, 'type': 'POH'}","{'word': '미국의 소리', 'start_idx': 61, 'end_idx': 66, 'type': 'ORG'}",org:alternate_names,wikipedia
32477,이어 “향후 우리 창업벤처기업들이 세계가 주목하는 줌(Zoom)과 페이스북(Facebook)과 같은 글로벌 플랫폼 기업으로 성장하도록 지원하고 대한민국이 ‘벤처 4대강국’으로 자리매김하도록 최선을 다할 계획”이라고 밝혔다.,"{'word': '페이스북', 'start_idx': 37, 'end_idx': 40, 'type': 'ORG'}","{'word': 'Facebook', 'start_idx': 42, 'end_idx': 49, 'type': 'ORG'}",org:alternate_names,policy_briefing
32478,채리나는 이후 박용근을 생명의 은인으로 여기고 교제하다가 2016년 11월에 결혼하였다.,"{'word': '박용근', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}","{'word': '채리나', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",per:spouse,wikipedia
32479,배우 장신영(35) 씨와 남편 강경준(36) 씨가 둘째를 품에 안았다.,"{'word': '장신영', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '강경준', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}",per:spouse,wikitree
