id,sentence,subject_entity,object_entity,label,source
10138,이 기간 크로아티아와 크라이나 공화국 간 유엔의 중재로 수 차례 평화 협상이 있었으나 실패하였다. 가장 큰 논쟁거리는 오쿠차니 인근의 자그레브-슬라본스키브로드 고속도로의 세르비아계 거주 지역을 교통편으로 개방시키는 문제와 크로아티아 내 세르비아계 다수 지역의 추정 영역 문제였다. 고속도로는 1994년 말 개통되었으나 안보 문제로 곧바로 폐쇄되었다.,"{'word': '크로아티아', 'start_idx': 5, 'end_idx': 9, 'type': 'ORG'}","{'word': '자그레브', 'start_idx': 75, 'end_idx': 78, 'type': 'POH'}",no_relation,wikipedia
26201,"빌헬름 푸르트벵글러(Wilhelm Furtwängler, 1886년 1월 25일 – 1954년 11월 30일)는 독일의 지휘자이자 피아니스트 겸 작곡가였다.","{'word': '빌헬름 푸르트벵글러', 'start_idx': 0, 'end_idx': 9, 'type': 'PER'}","{'word': '지휘자', 'start_idx': 67, 'end_idx': 69, 'type': 'POH'}",per:title,wikipedia
24413,"하지만 1981년의 복선 전철화, 1987년의 일본국유철도 분할 민영화, 1997년 JR 도자이 선 직통 운전 개시 등 편리성의 큰 향상과, 2000년대 역 주변에 대규모 상업 시설이 개발됨에 따라서 승강객이 증가하여 현재는 서일본 여객철도 관내 승차 인원수 50위 안에 드는 역이 되었다.","{'word': '서일본 여객철도', 'start_idx': 126, 'end_idx': 133, 'type': 'ORG'}","{'word': '일본국유철도', 'start_idx': 26, 'end_idx': 31, 'type': 'ORG'}",no_relation,wikipedia
15904,"조원흠(趙元欽, 1980년 1월 13일 ~)은 중국의 가수, 배우이면서 대한민국의 가수로, 2017년에 락 그룹 노라조에서 이혁이 탈퇴한 이후 노라조에 새롭게 합류한 멤버로, 2018년 8월 신곡 발표와 함께 정식으로 영입되었다.","{'word': '조원흠', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '가수, 배우', 'start_idx': 30, 'end_idx': 35, 'type': 'POH'}",per:title,wikipedia
27940,핀란드 방위군의 저격수인 시모 해위해(Simo Häyhä 1925-2002)는 소련과 핀란드의 분쟁인 겨울전쟁에서 무려 542명의 사살기록을 세웠다.,"{'word': '시모 해위해', 'start_idx': 14, 'end_idx': 19, 'type': 'PER'}","{'word': '겨울전쟁', 'start_idx': 57, 'end_idx': 60, 'type': 'POH'}",no_relation,wikipedia
4342,"[[2011년]] [[4월 8일]]부터 [[6월 24일]](1기), [[10월 7일]]부터 [[12월 23일]](2기)까지 [[TV 사이타마]] 및 [[전국 독립UHF방송 협의회|U국 계열]]에서 방영. 주요 스태프는 《[[순정 로맨티카]]》의 TV 시리즈와 거의 동일하다.","{'word': '전국 독립UHF방송 협의회', 'start_idx': 85, 'end_idx': 98, 'type': 'ORG'}","{'word': 'TV 사이타마', 'start_idx': 71, 'end_idx': 77, 'type': 'ORG'}",no_relation,wikipedia
10483,"이에, 최영조 경산시장은 “「청년희망 카페」가 우리 지역 청년들이 서로 소통하며 꿈과 희망을 꽃피울 수 있는 청년 희망 공간이 되기를 바란다.”라며, “경산시는 앞으로도 지역 청년과 함께 2030년 인구 40만 명품 자족 도시를 목표로 지역 주력산업을 고부가가치 산업으로 발전시키고, 신산업을 육성, 국책사업 및 기업유치 등을 통해 양질의 일자리 창출에 최선을 다하여 지역 청년들이 행복한 미래를 꿈꿀 수 있는 환경을 조성하는 데 최선을 다하겠다.”라고 말했다.","{'word': '경산시', 'start_idx': 85, 'end_idx': 87, 'type': 'ORG'}","{'word': '최영조', 'start_idx': 4, 'end_idx': 6, 'type': 'PER'}",org:top_members/employees,wikitree
11458,"5월 5일 미군정청 군정장관 겸 주한미군 부사령관 윌리엄 F. 딘, 민정장관 안재홍, 경비대 총사령관 송호성 준장, 경무부장 조병옥, 제주도 군정장관 맨스필드 대령 등이 비행기편으로 제주도에 착륙했다.","{'word': '미군정', 'start_idx': 6, 'end_idx': 8, 'type': 'ORG'}","{'word': '안재홍', 'start_idx': 43, 'end_idx': 45, 'type': 'PER'}",no_relation,wikipedia
6318,"1949년 《민중일보》가 화재를 당하여 재건이 어렵게 되자, 영국 스코틀랜드의 에든버러대학에 유학하여 일찍이 해외 문물을 접했던 윤보선(尹潽善)에게 판권을 무상으로 양도하였다.","{'word': '에든버러', 'start_idx': 44, 'end_idx': 47, 'type': 'ORG'}","{'word': '스코틀랜드', 'start_idx': 37, 'end_idx': 41, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
24621,"블라디미르 프로프(Vladimir Propp, 1895년 4월 17일~1970년 8월 22일)는 러시아의 민속학자이자 예술 이론가이다.","{'word': '블라디미르 프로프', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '1970년 8월 22일', 'start_idx': 39, 'end_idx': 50, 'type': 'DAT'}",per:date_of_death,wikipedia
